1,2,3
1,3,0
1,4,1
1,5,2
1,6,3
1,7,1
1,8,0
1,9,-1
1,10,0
1,11,1
1,12,-1
1,13,2
1,14,1
1,15,-2
1,16,-1
1,17,-2
1,18,0
1,19,-1
1,20,0
2,1,-1
2,3,0
2,4,0
2,5,0
2,6,1
2,7,-1
2,8,2
2,9,0
2,10,-1
2,11,2
2,12,0
2,13,0
2,14,0
2,15,0
2,16,0
2,17,-1
2,18,1
2,19,0
2,20,1
3,1,-1
3,2,2
3,4,0
3,5,1
3,6,3
3,7,-1
3,8,1
3,9,0
3,10,0
3,11,3
3,12,-4
3,13,4
3,14,0
3,15,1
3,16,0
3,17,-3
3,18,0
3,19,1
3,20,1
4,1,-1
4,2,2
4,3,-4
4,5,0
4,6,0
4,7,-1
4,8,1
4,9,1
4,10,-4
4,11,3
4,12,-3
4,13,-2
4,14,1
4,15,-2
4,16,1
4,17,-6
4,18,-1
4,19,-2
4,20,1
5,1,1
5,2,-1
5,3,0
5,4,2
5,6,0
5,7,0
5,8,1
5,9,2
5,10,-1
5,11,0
5,12,0
5,13,0
5,14,2
5,15,-1
5,16,-1
5,17,-2
5,18,3
5,19,-1
5,20,2
6,1,1
6,2,5
6,3,0
6,4,-1
6,5,4
6,7,1
6,8,1
6,9,1
6,10,1
6,11,1
6,12,-1
6,13,0
6,14,1
6,15,2
6,16,-1
6,17,1
6,18,0
6,19,-2
6,20,1
7,1,-1
7,2,1
7,3,-1
7,4,2
7,5,1
7,6,3
7,8,-1
7,9,-1
7,10,0
7,11,-2
7,12,-3
7,13,1
7,14,1
7,15,3
7,16,-1
7,17,-1
7,18,0
7,19,0
7,20,-1
8,1,0
8,2,-3
8,3,0
8,4,1
8,5,-1
8,6,2
8,7,1
8,9,1
8,10,-3
8,11,4
8,12,-3
8,13,0
8,14,-2
8,15,-1
8,16,-1
8,17,-1
8,18,1
8,19,1
8,20,0
9,1,2
9,2,1
9,3,-2
9,4,2
9,5,2
9,6,-2
9,7,-1
9,8,-3
9,10,2
9,11,5
9,12,-1
9,13,4
9,14,4
9,15,1
9,16,0
9,17,-1
9,18,1
9,19,2
9,20,4
10,1,3
10,2,1
10,3,0
10,4,1
10,5,0
10,6,2
10,7,2
10,8,2
10,9,0
10,11,1
10,12,-3
10,13,4
10,14,3
10,15,1
10,16,1
10,17,-4
10,18,2
10,19,4
10,20,0
11,1,2
11,2,1
11,3,-3
11,4,0
11,5,1
11,6,0
11,7,1
11,8,0
11,9,-3
11,10,1
11,12,-7
11,13,2
11,14,1
11,15,0
11,16,-2
11,17,-1
11,18,0
11,19,0
11,20,0
12,1,1
12,2,5
12,3,1
12,4,1
12,5,1
12,6,0
12,7,4
12,8,4
12,9,-2
12,10,4
12,11,5
12,13,4
12,14,6
12,15,4
12,16,3
12,17,2
12,18,3
12,19,2
12,20,2
13,1,1
13,2,1
13,3,4
13,4,1
13,5,0
13,6,0
13,7,-3
13,8,2
13,9,-2
13,10,2
13,11,-1
13,12,-1
13,14,0
13,15,-1
13,16,0
13,17,3
13,18,0
13,19,1
13,20,-1
14,1,2
14,2,1
14,3,-2
14,4,2
14,5,1
14,6,-2
14,7,-1
14,8,-1
14,9,-3
14,10,0
14,11,4
14,12,-3
14,13,-3
14,15,0
14,16,-1
14,17,-1
14,18,3
14,19,2
14,20,0
15,1,1
15,2,1
15,3,-1
15,4,1
15,5,2
15,6,3
15,7,0
15,8,1
15,9,-6
15,10,1
15,11,-3
15,12,-1
15,13,1
15,14,-2
15,16,0
15,17,-2
15,18,-1
15,19,0
15,20,0
16,1,-2
16,2,0
16,3,1
16,4,0
16,5,1
16,6,2
16,7,0
16,8,1
16,9,2
16,10,1
16,11,0
16,12,4
16,13,1
16,14,2
16,15,3
16,17,2
16,18,1
16,19,1
16,20,3
17,1,2
17,2,5
17,3,2
17,4,0
17,5,3
17,6,4
17,7,1
17,8,5
17,9,1
17,10,0
17,11,3
17,12,0
17,13,2
17,14,1
17,15,2
17,16,0
17,18,4
17,19,0
17,20,0
18,1,0
18,2,-1
18,3,0
18,4,2
18,5,0
18,6,1
18,7,2
18,8,1
18,9,0
18,10,1
18,11,1
18,12,-1
18,13,1
18,14,2
18,15,0
18,16,0
18,17,-1
18,19,2
18,20,1
19,1,1
19,2,1
19,3,0
19,4,-1
19,5,0
19,6,1
19,7,2
19,8,4
19,9,2
19,10,0
19,11,0
19,12,0
19,13,2
19,14,0
19,15,0
19,16,-1
19,17,-5
19,18,0
19,20,0
20,1,4
20,2,3
20,3,3
20,4,-1
20,5,0
20,6,1
20,7,0
20,8,1
20,9,-1
20,10,0
20,11,-1
20,12,2
20,13,1
20,14,0
20,15,-1
20,16,0
20,17,2
20,18,0
20,19,-3
